DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RETURN
2017-12-31,1M,Equity Common Stock,CRM.N,0.2460756
2017-12-31,1M,Equity Common Stock,RF.N,0.1997266
2017-12-31,1M,Equity Common Stock,WCG.N,0.3263688
2017-12-31,1M,Equity Common Stock,EXR.N,0.2057495
2017-12-31,1M,Equity Common Stock,GOOGL.OQ,0.3527710
2017-12-31,1M,Equity Common Stock,DLR.N,0.2958289
2017-12-31,1M,Equity Common Stock,FOXA.OQ,0.0033270
2017-12-31,1M,Equity Common Stock,FOX.OQ,0.0113196
2017-12-31,1M,Equity Common Stock,EXPE.OQ,0.1624444
2017-12-31,1M,Equity Common Stock,CF.N,-0.0008346
2017-12-31,1M,Equity Common Stock,AMP.N,0.1201783
